iter	MultiClass
0	1.383626234
1	1.149492506
2	0.9721604882
3	0.8437166189
4	0.7359359819
5	0.6488658185
6	0.5752873466
7	0.513248491
8	0.4606394538
9	0.4133290969
10	0.3720750951
11	0.3358258574
12	0.30378798
13	0.2754293421
14	0.2499745727
15	0.227128132
16	0.207203945
17	0.1895789621
18	0.1733686657
19	0.1585918921
20	0.1460003042
21	0.1341402641
22	0.1240506001
23	0.1141031446
24	0.1051909922
25	0.09678987095
26	0.08948755132
27	0.08266977239
28	0.07674648066
29	0.07107754788
30	0.06611923426
31	0.06147098185
32	0.05738525431
33	0.05381567373
34	0.05045252802
35	0.04737635691
36	0.04453704564
37	0.04177594951
38	0.03926611232
39	0.03713952476
40	0.03515892945
41	0.03335391992
42	0.0320653152
43	0.03062118786
44	0.02934245429
45	0.02806640347
46	0.0274265955
47	0.0268074834
48	0.02595017742
49	0.02504928042
50	0.02409094151
51	0.02372511764
52	0.02310881646
53	0.02270398791
54	0.02224737443
55	0.021833946
56	0.02129895214
57	0.02083061523
58	0.02057991441
59	0.02015547615
60	0.01994200645
61	0.01949846979
62	0.01912151612
63	0.01897577294
64	0.01860465164
65	0.01826676026
66	0.01788849039
67	0.0177390718
68	0.01755770839
69	0.01734845627
70	0.01718917863
71	0.01683986134
72	0.01670344957
73	0.0164788908
74	0.01625016969
75	0.01609390226
76	0.0159806935
77	0.01575277681
78	0.01558455963
79	0.01536275107
80	0.01516539012
81	0.01503813374
82	0.01484295686
83	0.01475323511
84	0.01462926948
85	0.01455871747
86	0.01447854597
87	0.01440176404
88	0.01429933671
89	0.0141930833
90	0.01410231847
91	0.01399671932
92	0.01385534732
93	0.01376744012
94	0.01358626481
95	0.01348704578
96	0.0134182558
97	0.01330883184
98	0.0132083361
99	0.01312609706
100	0.01304920472
101	0.01296523199
102	0.01277329597
103	0.01265915438
104	0.01259455639
105	0.01252920558
106	0.01247450864
107	0.01232456475
108	0.01226661026
109	0.01218351542
110	0.01208387472
111	0.01199647422
112	0.01187769485
113	0.0118189892
114	0.01177272685
115	0.01170386777
116	0.01164680504
117	0.01158070297
118	0.01149230883
119	0.01141925662
120	0.01136336591
121	0.01130052914
122	0.01120347604
123	0.01111283554
124	0.0110515266
125	0.01098885163
126	0.01093985852
127	0.01088997048
128	0.01084586495
129	0.01076758681
130	0.01066705683
131	0.01061118324
132	0.01052009222
133	0.01047994397
134	0.01042649509
135	0.01037656598
136	0.01028431235
137	0.01020928842
138	0.01017047115
139	0.01010963176
140	0.010063677
141	0.01002349311
142	0.009981751726
143	0.009884786166
144	0.009849999641
145	0.009812959629
146	0.009784087108
147	0.009733980948
148	0.00962480979
149	0.009554542532
150	0.009480225914
151	0.009413092378
152	0.009362670831
153	0.009288493277
154	0.009221411387
155	0.009176629636
156	0.009124179783
157	0.00906982031
158	0.009032738895
159	0.009010203009
160	0.008983220354
161	0.008953213194
162	0.008924118984
163	0.008872759362
164	0.008845767011
165	0.008833790018
166	0.008786517509
167	0.00871783441
168	0.00865908554
169	0.008593976807
170	0.008555416843
171	0.008528109925
172	0.008494040658
173	0.008462275225
174	0.00842773172
175	0.008381231462
176	0.008338797195
177	0.00828527774
178	0.008243457406
179	0.008202349157
180	0.008174053556
181	0.008131264741
182	0.008107171185
183	0.008064850205
184	0.008017267408
185	0.007972992596
186	0.007945710814
187	0.007913232733
188	0.007890786043
189	0.007869446708
190	0.007825663411
191	0.007802358133
192	0.00776449685
193	0.007715059881
194	0.007676585891
195	0.00761420489
196	0.007551663631
197	0.007515008972
198	0.007483465977
199	0.007463143638
200	0.007443476103
201	0.007425377402
202	0.007400830747
203	0.00737569702
204	0.007354314044
205	0.007300419909
206	0.007274855419
207	0.007246047629
208	0.007209580977
209	0.007163502247
210	0.007105693176
211	0.007082915881
212	0.007059298299
213	0.00702452403
214	0.007005825687
215	0.006983619999
216	0.006973736767
217	0.006931566356
218	0.006916965129
219	0.00689832433
220	0.006882054307
221	0.006826992171
222	0.006803186181
223	0.006786952463
224	0.006766489181
225	0.006746241252
226	0.00671761115
227	0.00670572737
228	0.006672084051
229	0.006633697946
230	0.006616138409
231	0.006578545185
232	0.006545413207
233	0.006513094755
234	0.006476202571
235	0.006462769444
236	0.006424960412
237	0.006389829438
238	0.006379246739
239	0.006346389807
240	0.006333438911
241	0.006313749649
242	0.006292903565
243	0.006261411045
244	0.006245521778
245	0.006223776531
246	0.006188055453
247	0.006176995814
248	0.006147180601
249	0.00613307343
250	0.006111225388
251	0.006075466713
252	0.006049905317
253	0.006040394038
254	0.00602052451
255	0.005969997506
256	0.005939042344
257	0.005906166918
258	0.005883288243
259	0.005854322423
260	0.005837079252
261	0.005820975743
262	0.005801946233
263	0.005788177949
264	0.005775968005
265	0.005760991569
266	0.005742239289
267	0.005733065719
268	0.005714033169
269	0.005705000029
270	0.005696647082
271	0.005664859931
272	0.005635436114
273	0.00562178895
274	0.005601545842
275	0.005572706109
276	0.005554902848
277	0.005534418244
278	0.005512231476
279	0.005496142038
280	0.005486071198
281	0.005468754871
282	0.005451666814
283	0.005430573569
284	0.005411523428
285	0.00539500611
286	0.005379035849
287	0.005366857117
288	0.005333291636
289	0.005309823736
290	0.005297063777
291	0.005279973279
292	0.005265464157
293	0.005239911889
294	0.005206860265
295	0.005195984021
296	0.005184778076
297	0.005171346451
298	0.005143297526
299	0.005129706867
300	0.005107333507
301	0.005094109503
302	0.00508042214
303	0.005067042046
304	0.005045907092
305	0.00503066656
306	0.005016459977
307	0.004999531396
308	0.004976812028
309	0.00496626053
310	0.004957118642
311	0.004944653093
312	0.004929945382
313	0.004914527989
314	0.004890061642
315	0.004874560104
316	0.004862353743
317	0.004841906855
318	0.004835320087
319	0.004813912435
320	0.004801990447
321	0.00478734532
322	0.004773490661
323	0.004758108846
324	0.004738094863
325	0.004730814445
326	0.004721510601
327	0.004717571817
328	0.004710538702
329	0.00469257925
330	0.004673480919
331	0.00465553829
332	0.004645690509
333	0.004638815092
334	0.004617814974
335	0.004605707058
336	0.004598433252
337	0.004587713618
338	0.004575774871
339	0.004552172585
340	0.004539133242
341	0.004532750384
342	0.004516094739
343	0.004497017693
344	0.004484369163
345	0.004472908538
346	0.004459034451
347	0.004447454184
348	0.004427312888
349	0.004408197711
350	0.004397187494
351	0.004390590529
352	0.004377631396
353	0.004367746608
354	0.004364849457
355	0.004355160905
356	0.004350618569
357	0.004334257603
358	0.004330914954
359	0.004321985449
360	0.004315429907
361	0.00430400178
362	0.004293077027
363	0.004272763023
364	0.004253127937
365	0.004246072622
366	0.00423622811
367	0.004219028406
368	0.004208453205
369	0.004194320636
370	0.004180500771
371	0.004167864181
372	0.004161076486
373	0.004154945031
374	0.004140913934
375	0.004129812275
376	0.004123467393
377	0.004118783945
378	0.004103606552
379	0.004077124971
380	0.004069025377
381	0.004053514927
382	0.004043556402
383	0.004029481114
384	0.004015467683
385	0.004009005045
386	0.004003254921
387	0.00399411697
388	0.003978182208
389	0.003966435008
390	0.003951456768
391	0.003932674592
392	0.003916405628
393	0.003909842427
394	0.003905982502
